,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp,Temperature,Min Temp
0,baghdad,0,IQ,1563759109,44,33.3,44.38,6.93,80.6,80.6,80.6
1,raudeberg,100,NO,1563759109,87,61.99,5.14,11.41,55.4,54.64,54.0
2,ketchikan,20,US,1563759109,52,55.34,-131.65,13.87,68.0,66.78,66.2
3,vaini,75,IN,1563759000,94,15.34,74.49,6.93,71.6,70.68,69.8
4,armidale,95,AU,1563759110,42,-30.51,151.67,4.0,55.0,55.0,55.0
5,victoria,75,BN,1563759009,88,5.28,115.24,4.7,82.4,81.57,80.01
6,upernavik,97,GL,1563759110,94,72.79,-56.15,8.05,43.13,43.13,43.13
7,mataura,65,NZ,1563759010,98,-46.19,168.86,1.01,50.0,50.0,50.0
8,flin flon,0,FR,1563759111,72,48.5,6.66,1.12,69.8,64.27,60.01
9,muskegon,1,US,1563759111,64,43.23,-86.25,5.82,79.0,73.71,68.0
10,chuy,21,UY,1563758904,78,-33.69,-53.46,13.71,67.53,67.53,67.53
11,mys shmidta,78,RU,1563759112,97,62.06,48.62,7.27,58.25,58.25,58.25
12,bluff,18,AU,1563758996,67,-23.58,149.07,8.32,66.81,66.81,66.81
13,salalah,90,OM,1563759112,94,17.01,54.1,3.36,78.8,78.8,78.8
14,busselton,100,AU,1563759000,59,-33.64,115.35,19.57,57.0,53.2,50.0
15,khatanga,0,RU,1563759113,28,71.98,102.47,5.86,80.39,80.39,80.39
16,east london,76,UG,1563759113,95,3.43,31.7,0.63,64.19,64.19,64.19
17,cape town,81,CL,1563759113,93,-36.41,-71.9,6.93,42.8,42.8,42.8
18,albany,75,US,1563758840,45,42.65,-73.75,6.93,82.4,77.07,71.6
19,bredasdorp,0,ZA,1563759114,86,-34.53,20.04,6.93,37.4,37.4,37.4
20,faya,0,SA,1563759114,21,18.39,42.45,7.54,73.4,71.65,69.8
21,grand river south east,0,FR,1563759114,72,48.39,5.49,1.12,62.6,59.29,55.99
22,iqaluit,90,CA,1563759115,93,63.75,-68.52,4.7,41.0,41.0,41.0
23,punta arenas,75,PH,1563759115,74,14.18,121.12,4.7,86.0,85.06,84.0
24,jamestown,0,AU,1563758886,55,-33.21,138.6,19.35,53.49,53.49,53.49
25,alekseyevka,0,RU,1563759116,77,53.25,50.49,4.47,62.6,62.6,62.6
26,atuona,100,PF,1563758845,74,-9.8,-139.03,10.71,80.31,80.31,80.31
27,norman wells,1,US,1563759002,52,35.22,-97.44,9.17,95.0,91.98,88.0
28,ushuaia,40,AR,1563759009,74,-54.81,-68.31,10.29,35.6,35.6,35.6
29,saint-philippe,1,CA,1563759117,50,45.36,-73.48,9.17,78.8,75.51,72.0
30,tiksi,5,RU,1563759117,71,71.64,128.87,10.27,39.89,39.89,39.89
31,cabo san lucas,90,ES,1563759117,94,43.18,-5.8,4.7,71.01,67.01,60.01
32,castro,75,CL,1563759118,86,-42.48,-73.76,4.7,39.2,39.2,39.2
33,kapaa,1,US,1563758907,62,22.08,-159.32,16.11,86.0,83.28,81.0
34,port alfred,0,CD,1563759118,48,-7.04,29.76,3.33,55.19,55.19,55.19
35,sungaipenuh,63,ID,1563759078,61,-2.08,101.38,3.11,84.53,84.53,84.53
36,ponta do sol,42,BR,1563759119,96,-0.53,-65.05,3.0,72.47,72.47,72.47
37,manggar,67,ID,1563759119,67,-2.88,108.27,9.35,84.53,84.53,84.53
38,cidreira,100,BR,1563758887,78,-30.17,-50.22,10.4,65.19,65.19,65.19
39,samarai,99,PG,1563759119,92,-10.62,150.67,7.94,74.99,74.99,74.99
40,lorengau,99,PG,1563758854,77,-2.02,147.27,4.29,82.47,82.47,82.47
41,saskylakh,9,RU,1563759009,38,71.97,114.09,12.71,74.99,74.99,74.99
42,straumen,75,NO,1563759120,87,63.87,11.3,16.11,55.99,54.57,52.0
43,kununurra,45,AU,1563759120,57,-15.77,128.74,5.82,77.0,77.0,77.0
44,saldanha,0,PT,1563759121,66,41.42,-6.55,4.72,68.69,68.69,68.69
45,khasan,95,RU,1563759121,91,42.43,130.64,5.48,71.39,71.39,71.39
46,katsuura,75,JP,1563758852,94,33.93,134.5,6.93,82.4,80.73,78.8
47,nikolskoye,0,RU,1563759122,81,59.7,30.79,1.63,53.6,52.68,52.0
48,provideniya,90,RU,1563759122,100,64.42,-173.23,11.18,50.0,50.0,50.0
49,choix,90,MX,1563759122,79,26.71,-108.33,2.91,75.71,75.71,75.71
50,purpe,3,RU,1563758706,80,64.48,76.69,1.7,66.99,66.99,66.99
51,lavrentiya,58,RU,1563759123,80,65.58,-170.99,15.57,52.31,52.31,52.31
52,severo-kurilsk,100,RU,1563758864,96,50.68,156.12,16.53,45.21,45.21,45.21
53,flinders,0,AU,1563759123,34,-34.58,150.85,6.93,66.99,64.51,62.01
54,kuhdasht,75,IR,1563759123,25,33.53,47.61,4.7,86.0,86.0,86.0
55,laguna,40,BZ,1563759124,88,16.17,-88.94,4.7,82.4,82.4,82.4
56,puerto ayora,0,AR,1563759124,64,-51.62,-69.23,17.22,35.6,35.6,35.6
57,karratha,0,AU,1563759000,18,-20.74,116.85,13.58,64.83,64.83,64.83
58,suoyarvi,0,RU,1563759124,66,62.08,32.35,0.04,56.81,56.81,56.81
59,dingle,9,PH,1563759125,70,11.0,122.67,4.36,85.61,85.61,85.61
60,beian,75,NO,1563759125,87,63.66,9.57,5.82,55.99,54.66,52.0
61,esperance,75,AU,1563759125,93,-33.86,121.89,23.04,50.0,50.0,50.0
62,antalaha,0,MG,1563759126,96,-14.9,50.28,3.78,62.39,62.39,62.39
63,namatanai,71,PG,1563759126,76,-3.66,152.44,5.73,81.29,81.29,81.29
64,viransehir,0,TR,1563759126,28,37.24,39.76,1.97,74.81,74.81,74.81
65,grand centre,0,FR,1563759114,72,48.39,5.49,1.12,62.6,59.29,55.99
66,santa cruz,100,PH,1563759127,78,17.49,120.43,4.41,81.47,81.47,81.47
67,tasiilaq,0,GL,1563759011,53,65.61,-37.64,4.7,50.0,50.0,50.0
68,pevek,100,RU,1563759127,95,69.7,170.27,21.54,33.59,33.59,33.59
69,arlit,27,NE,1563758914,24,18.74,7.39,5.84,97.23,97.23,97.23
70,roma,0,IT,1563758833,59,41.89,12.48,2.24,73.0,69.3,64.99
71,acapulco,75,MX,1563759128,74,16.86,-99.88,11.41,86.0,86.0,86.0
72,preobrazheniye,100,RU,1563759128,99,42.9,133.91,3.89,65.09,65.09,65.09
73,sitka,2,US,1563759128,54,37.17,-99.65,1.01,86.0,86.0,86.0
74,hermanus,0,ZA,1563758905,49,-34.42,19.24,8.99,59.0,59.0,59.0
75,rikitea,21,PF,1563758906,62,-23.12,-134.97,12.06,68.97,68.97,68.97
76,shieli,0,KZ,1563759129,35,44.18,66.74,19.1,84.71,84.71,84.71
77,guerrero negro,0,AR,1563759129,58,-24.19,-65.45,9.17,59.0,59.0,59.0
78,magadan,40,RU,1563759130,66,59.56,150.8,6.76,54.65,54.65,54.65
79,ilulissat,40,GL,1563759130,81,69.22,-51.1,3.36,50.0,50.0,50.0
80,mogadishu,19,SO,1563759131,77,2.04,45.34,14.41,74.09,74.09,74.09
81,sal rei,0,SY,1563759131,74,36.63,38.46,14.25,71.57,71.57,71.57
82,leningradskiy,100,RU,1563759131,98,69.38,178.42,14.92,36.29,36.29,36.29
83,dikson,100,RU,1563759132,98,73.51,80.55,14.0,35.57,35.57,35.57
84,mansehra,11,PK,1563759132,71,34.33,73.2,3.0,75.53,75.53,75.53
85,panama city,40,PA,1563758881,83,8.97,-79.53,8.05,86.0,82.56,80.01
86,barrow,100,AR,1563758621,36,-38.31,-60.23,6.06,49.89,49.89,49.89
87,new norfolk,75,LR,1563759133,94,6.65,-10.59,5.82,77.0,77.0,77.0
88,hobart,75,AU,1563759133,54,-42.88,147.33,18.34,60.01,58.6,57.0
89,dongsheng,13,CN,1563759133,75,29.72,112.52,9.13,90.29,90.29,90.29
90,grindavik,0,IS,1563759134,93,63.84,-22.43,5.82,57.2,56.07,53.6
91,hilo,20,US,1563758836,54,19.71,-155.08,13.87,84.2,78.64,73.99
92,ambulu,100,ID,1563759134,84,-8.35,113.61,9.06,73.91,73.91,73.91
93,cabedelo,0,BR,1563758906,94,-6.97,-34.84,4.7,71.6,71.6,71.6
94,ranau,75,MY,1563759135,79,5.95,116.67,4.7,86.0,86.0,86.0
95,mahebourg,20,MU,1563759135,88,-20.41,57.7,5.82,68.0,67.41,66.99
96,marsh harbour,75,GB,1563759136,93,53.65,-1.81,11.41,66.2,63.55,60.8
97,avarua,60,CK,1563759136,83,-21.21,-159.78,13.87,78.8,78.8,78.8
98,pantubig,75,PH,1563759136,83,14.97,120.95,9.17,86.0,84.61,84.0
99,puerto quijarro,0,AR,1563759137,64,-51.62,-69.23,17.22,35.6,35.6,35.6
100,butaritari,21,KI,1563759137,69,3.07,172.79,8.55,84.89,84.89,84.89
